Região;Local;Longitude;Latitude;Referência;;;;;;;;;;;;;;;;;
América do Sul;    teresopolis/rj;-43,01;-22,27; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;;;
América do Sul;    santa maria da serra;-48,1;-22,34; Mateus R.P. et al. (2006); The Drosophila community in xe ...;;;;;;;;;;;;;;;;
América do Sul;    cosmopolis;-47,12;-22,39; da Cunha A.B. (1951); Contribuicao ao estudo do poli ...; Pavan C. (1952); Relacoes entre populacoes natu ...;; Pavan C. (1959); Relacoes entre populacoes natu ...;;;;;;;;;;;
América do Sul;    barreiro rico;-48,05;-22,41; de Medeiros H.F. and Klaczko L.B. (2004); How many species of Drosophila ...;;;;;;;;;;;;;;;;
América do Sul;    campos do jordao;-45,33;-22,45; da Cunha A.B. (1946); Polymorphism in Natural Popula ...; da Cunha A.B. (1951); Contribuicao ao estudo do poli ...;;;;;;;;;;;;;;
América do Sul;    rio de janeiro;-43,17;-22,53; da Cunha A.B. (1951); Contribuicao ao estudo do poli ...;;;;;;;;;;;;;;;;
América do Sul;    jacarepagua;-43,22;-22,56; da Cunha A.B. (1946); Polymorphism in Natural Popula ...; Dobzhansky T. and Pavan C. (1943); Studies on Brazilian species o ...;;;;;;;;;;;;;;
América do Sul;    furnas/brazil;-43,17;-22,58; Brisson J.A. et al. (2005); Abdominal pigmentation variati ...;;;;;;;;;;;;;;;;
América do Sul;    itatiba;-46,51;-22,59; Brisson J.A. et al. (2005); Abdominal pigmentation variati ...; Mateus R.P. et al. (2006); The Drosophila community in xe ...;;;;;;;;;;;;;;
América do Sul;    angra dos reis;-44,17;-22,59; da Cunha A.B. (1949); Genetic analysis of the polymo ...; da Cunha A.B. (1951); Contribuicao ao estudo do poli ...; Pavan C. (1952); Relacoes entre populacoes natu ...; Pavan C. (1959); Relacoes entre populacoes natu ...;;;;;;;;;;
