Região;Local;Longitude;Latitude;Referências;;;;;;;;;
América do Sul;    pnb/df;-47.54;-15.40 ;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ... ;;;;;;;;;
América do Sul;Planaltina;-47,29;-15,4;Emerich et al., 2012;;;;;;;;;
América do Sul;RECOR ;-47,5;-15,46;Figueiredo (dissertação, 2007);;;;;;;;;
América do Sul;    brasilia/df;-47.59;-15.47;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ... ;;;;;;;;;
América do Sul;    brasilia/df; -47.59;-15.47 ;Dobbin B.F. and Tidon R. (2004), Newly invading species exploit ... ;;;;;;;;;
América do Sul;    brasilia/df;-47.59;-15.47;Ferreira L.B. and Tidon R. (2005), Colonizing potential of Drosop ... ;;;;;;;;;
América do Sul;    brasilia/df;-47.59;-15.47;Roque F. et al. (2006), Nine new records of drosophili ... ;;;;;;;;;
América do Sul;    brasilia/df;-47.59;-15.47;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;cerrado;-47.59;-15.47;Cahaves N.B. and Tidon R. (2005), Drosophilidae of the Brazilian ... ;;;;;;;;;
América do Sul;    brasilia/df;-47,57;-15,47;Ferreira L.B. and Tidon R. (2005), Colonizing potential of Drosop ... ;;;;;;;;;
América do Sul;    brasilia/df;-47,57;-15,47;Roque F. et al. (2006), Nine new records of drosophili ... ;;;;;;;;;
América do Sul;    brasilia/df;-47,57;-15,47;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    brasilia/df;-47,57;-15,47;Cahaves N.B. and Tidon R. (2005), Drosophilidae of the Brazilian ... ;;;;;;;;;
América do Sul;RECOR;-47,52;-15,55;Roque & Tidon, 2012;;;;;;;;;
América do Sul;    jbb/df; -47.50;-15.55 ;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ... ;;;;;;;;;
América do Sul;    recor reserve;-47.53;-15.56 ;Leao B F.D. and Tidon R. (2004), Newly invading species exploit ... ;;;;;;;;;
América do Sul;    recor reserve;-47.53;-15.56 ;Tidon R. (2006), Relationships between drosophi ... ;;;;;;;;;
América do Sul;    recor/df;-47.53;-15.56 ;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ... ;;;;;;;;;
América do Sul;    recor reserve;-47.53;-15.56 ;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ... ;;;;;;;;;
América do Sul;RECOR ;-47,52;-15,56;Figueiredo (dissertação, 2007);;;;;;;;;
