Região;Local;Longitude;Latitude;Referência;;;;;;;;;
América do Sul;    mesitas/colombia;-71,1;4,5; Hoenigsberg H.F. et al. (1977); Population genetics in the Ame ...;;;;;;;;
América do Sul;    mesitas/colombia;-71,1;4,5; Hoenigsberg H.F. et al. (1982); Population Genetics in the Ame ...;;;;;;;;
América do Sul;    santa elena uairen;-61,07;4,37; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    santa elena/venezuela;-61,07;4,37; Malogolowkin-Cohen C. et al. (1964); Inbreeding and the mutational ...;;;;;;;;
América do Sul;    santa elena/venezuela;-61,07;4,37; Perez-Salas S. (1970); Consideraciones geneticas sobr ...;;;;;;;;
América do Sul;    ibague;-75,2;4,25; Hoenigsberg H.F. et al. (1965); Biochemical studies of Drosoph ...;;;;;;;;
América do Sul;    fusagasuga;-74,21;4,22; Hunter A.S. and Navarro A. (1969); A Natural Population of Drosop ...;;;;;;;;
América do Sul;    mesas;-74,45;4,2; Hoenigsberg H.F. et al. (1982); Population genetics in the Ame ...;;;;;;;;
América do Sul;    girardot;-74,47;4,19; Hoenigsberg H.F. et al. (1983); Population genetics in the Ame ...;;;;;;;;
América do Sul;    girardot;-74,47;4,19; Hunter A.S. (1966); Effects of temperature on Dros ...;;;;;;;;
América do Sul;    villavicencio;-73,38;4,09; da Cunha A.B. et al. (1959); Genetics of natural population ...;;;;;;;;
América do Sul;    san fernando de atabapo;-67,45;4,03; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    valparaiso/colombia;-75;4; Ayala F.J. (1970); Competition Coexistence and ...;;;;;;;;
América do Sul;    valparaiso/colombia;-75;4; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    valparaiso/colombia;-75;4; Hoenigsberg H.F. et al. (1973); The Drosophila willistoni grou ...;;;;;;;;
América do Sul;    valparaiso/colombia;-75;4; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    apoteri;-58,53;4; Malogolowkin-Cohen C. et al. (1964); Inbreeding and the mutational ...;;;;;;;;
América do Sul;    apoteri;-58,53;4; Perez-Salas S. (1970); Consideraciones geneticas sobr ...;;;;;;;;
América do Sul;    apoteri;-58,53;4; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    buenaventura/colombia;-77,02;3,54; da Cunha A.B. et al. (1959); Genetics of natural population ...;;;;;;;;
América do Sul;    buenaventura/colombia;-77,02;3,54; Krimbas C.B. (1959); Comparison of the concealed va ...;;;;;;;;
