Região;Local;Longitude;Latitude;Referência;;;;;;;;;
América do Sul;    serra do cipo;-43.35;-19.17 ;Tidon-Sklorz R. et al. (1994), The genus Drosophila (Diptera, ...;;;;;;;;;
América do Sul;Serra do Cipó;-43,36;-19,18;Tidon, 2005;;;;;;;;;
América do Sul;    serra do cipo;-43,33;-19,2;Tidon-Sklorz et al., 1994;;;;;;;;;
América do Sul;    serra do cipo;-43,38;-19,21;Vilela & Mori, 1999;;;;;;;;;
América do Sul;  rio doce;-40.30;-19.30;Dobzhansky D. and Brito da Cunha A. (1955), Differentiation of nutritional ...;;;;;;;;;
América do Sul;    lagoa santa/mg; -43.55;-19.39;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    correias/rj;-41.24;-19.56;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    correias/rj;-41.24;-19.56 ;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    santa teresa/es;-40.37;-19.56;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    teffe;-50.00;-20.00 ;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ...;;;;;;;;;
América do Sul;  miranda/ms;-56.46;-20.05;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ...;;;;;;;;;
América do Sul;    miranda/mg;-56.19;-20.10;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    esmeralda; -51.02;-20.18;Saavedra C.C.R. et al. (1995), A descriptive and analytical s ...;;;;;;;;;
América do Sul;    campo grande/ms;-54.34;-20.41;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ...;;;;;;;;;
América do Sul;    olimpia; -48.55;-20.43 ;"Belo M. (1979), Especies domesticas de ""Drosop ...";;;;;;;;;
América do Sul;    piracununga;-47.27;-21.59;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;    sao paulo estado;-48.00;-22.00;Tidon-Sklorz R. and Sene F.M. (1999), Drosophila. In: Brandao, C.R.F ...;;;;;;;;;
América do Sul;    sao carlos/sp;-45.53;-22.03;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    bela vista/ms;-56.32;-22.05;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    caracol/ms;-56.47;-22.13;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ...;;;;;;;;;
América do Sul;    mogi-guacu/sp;-47.12;-22.17 ;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    teresopolis/rj;-43.01;-22.27;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    rio de janeiro; -43.17;-22.53;Frota-Pessoa O. (1952), Flower-feeding Drosophilidae. ... ;;;;;;;;;
América do Sul;    jacarepagua;-43.22;-22.56;Dobzhansky T. and Pavan C. (1943), Studies on Brazilian species o ...;;;;;;;;;
América do Sul;    arraial do cabo/rj;-42.01;-22.59;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    mucorca;-47.00;-23.00;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;    prata; -47.00;-23.00;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;    cabreuva/sp;-47.10;-23.15;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    itu/sp;-47.18;-23.16;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    cantareira;-46.38;-23.27;da Cunha A.B. et al. (1953), A comparative study of chromos ...;;;;;;;;;
América do Sul;    jaguari/rs;-54.42;-23.30;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    vila atlantica;-46.30;-23.30;da Cunha A.B. et al. (1953), A comparative study of chromos ...;;;;;;;;;
América do Sul;    mogi das cruzes; -46.10;-23.30;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ...;;;;;;;;;
América do Sul;    sao paulo;-46.39;-23.33;Dobzhansky T. and Pavan C. (1950), Local and seasonal variations ...;;;;;;;;;
América do Sul;    azapa/chile;-70.23;-23.37;Brncic D. (1957), Las especies Chilenas de Droso ...;;;;;;;;;
América do Sul;    rio ligeiro/pa;-52.31;-23.37;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    rio ivai/pa;-52.22;-23.40 ;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    morungava;-50.00;-23.40;Petersen J.A. (1960), Studies on the ecology of the ...;;;;;;;;;
América do Sul;    boraceia/sp;-43.50;-23.40;Val F.C. and Kaneshiro K.Y. (1988), Drosophilidae (Diptera) from t ...;;;;;;;;;
América do Sul;    sao sebastiao/sp;-45.26;-23.48;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;    guaratuba/sp;-45.53;-23.50 ;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    itanhaem;-46.47;-24.09;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;    peruibe/sp;-46.55;-24.14;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    eldorado do sul; -48.08;-24.33;Rohde C. and Valente V.L.S. (1996), Cytological maps and chromosom ...;;;;;;;;;
América do Sul;    iporanga;-48.38;-24.34;Dobzhansky T. and Pavan C. (1943), Studies on Brazilian species o ...;;;;;;;;;
América do Sul;    lambedor;-50.00;-25.00;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;    ponta grossa/rgs;-50.09;-25.07;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;    morretes; -48.49;-25.29;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;    iguacu;-54.22;-25.35;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;    joinville/sc;-48.51;-26.18;Doge J.S. et al. (2008), Drosophilids (Diptera) from an ...;;;;;;;;;
América do Sul;    barra velha/sc; -48.42;-26.37;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    tucuman;-65.15;   -26.47 ;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;    arvoredo; -52.41;-27.14;de Toni D.C. et al. (2007), Study of the Drosophilidae (Di ...;;;;;;;;;
América do Sul;puerto tirol;-59.10;-27.18;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    lagoa da conceicao; -48.21;-27.18;de Toni D.C. and Hofmann P.R.P. (1995), Preliminary taxonomic survey o ...;;;;;;;;;
América do Sul;    ratones;-48.30;-27.27;Schmitz H.J. et al. (2007), Taxonomic Survey of Drosophili ...;;;;;;;;;
América do Sul;    resistencia;-59.00;-27.28 ;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    ratones grande;-48.37;-27.29;de Toni D.C. et al. (2007), Study of the Drosophilidae (Di ...;;;;;;;;;
América do Sul;    florianopolis/sc;-48.32;-27.35 ;Gottschalk M.S. et al. (2007), Changes in Brazilian Drosophil ...;;;;;;;;;
América do Sul;    florianopolis;-48.31;-27.35;Cordeiro J. et al. (2008), The LTR retrotransposon microp ...;;;;;;;;;
América do Sul;    campeche/sc;-48.29;-27.41;de Toni D.C. et al. (2007), Study of the Drosophilidae (Di ...;;;;;;;;;
América do Sul;    santa catarina/sc;-48.30;-27.42;Cordeiro J. et al. (2008), The LTR retrotransposon microp ...;;;;;;;;;
América do Sul;    salitre;-50.00;-28.00;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;    santo angelo; -54.15;-28.17 ;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;"    turvo; , ; ";-49.42;-28.50;De Araujo A.M. and Valente V.R.S. (1981), Observacoes sobre alguns Lepid ...;;;;;;;;;
América do Sul;    guaiba;-49.40;-28.50 ;Saavedra C.C.R. et al. (1995), A descriptive and analytical s ...;;;;;;;;;
América do Sul;    bento goncalves;-51.34;-29.12 ;Saavedra C.C.R. et al. (1995), A descriptive and analytical s ...;;;;;;;;;
América do Sul;    sao francisco de paula; -50.31;-29.20;Petersen J.A. (1960), Studies on the ecology of the ...;;;;;;;;;
América do Sul;    esteio;-51.11;-29.52; Martins M.B. (2001), Drosophilid Fruit-Fly Guilds i ...;;;;;;;;;
América do Sul;    tramandai/rs;-50.13;-29.55;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    porto alegre/rs;-51.13;-30.01;Robe L.J. et al. (2010), Taxonomic boundaries, phylogen ...;;;;;;;;;
América do Sul;    morro santana;-51.19;-30.04;Cordeiro J. et al. (2008), The LTR retrotransposon microp ...;;;;;;;;;
América do Sul;    guaritas/rs;-53.20;-30.45;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
;;;;Yoon Z. (1996), Stock List. National Drosophil ...;;;;;;;;;
América Central;madden forest;;; Pipkin S.B. (1965);;;;;;;;;
;;;; Heed W.B. and Russell J.S. (1971);;;;;;;;;
;;;; Napp M. and Cordeiro A.R. (1981);;;;;;;;;
;;;; Yoon J.S. (1984);;;;;;;;;
;;;; Pipkin S.B. (1965);;;;;;;;;
;;;; Sevenster J.G. (1992);;;;;;;;;
;;;; Sevenster J.G. and van Alphen J.J.M. (1993);;;;;;;;;
;;;; Stalker H.D. (1953);;;;;;;;;
;;;; Pipkin S.B. et al. (1966);;;;;;;;;
;;;; Pipkin S.B. (1965);;;;;;;;;
;;;; Yoon J.S. (1984);;;;;;;;;
;;;; Yoon J.S. (1990);;;;;;;;;
;;;; Yoon Z. (1996);;;;;;;;;
;;;;Yoon J.S. (1984), Drosophila species stock list ...;;;;;;;;;
;;;;Yoon J.S. (1990), Drosophila species stock list ...;;;;;;;;;
;;;;Yoon Z. (1996), Stock List. National Drosophil ...;;;;;;;;;
;;;;Napp M. and Cordeiro A.R. (1981), Interspecific relationships in ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Rafael V. and Vela D. (2000), Drosophila distribution in Ecu ...;;;;;;;;;
;;;;Napp M. and Cordeiro A.R. (1981), Interspecific relationships in ...;;;;;;;;;
;;;;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Streisinger G. (1946), The cardini species group of t ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Napp M. and Cordeiro A.R. (1981), Interspecific relationships in ...;;;;;;;;;
;;;;Castro F.L. and Valente V.L.S. (2001), Zaprionus indianus is invading ...;;;;;;;;;
;;;;Garcia A.C. et al. (2008), Two decades of colonization of ...;;;;;;;;;
;;;;Rohde C. and Valente V.L.S. (1996), Cytological maps and chromosom ...;;;;;;;;;
;;;;Rohde C. and Valente V.L.S. (1996), Ecological characteristics of ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ... ;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Pilares G. L.V. and vasquez E. J.A. (1977), Especies del genero Drosophila ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
;;;;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Ferreira L.B. and Tidon R. (2005), Colonizing potential of Drosop ...;;;;;;;;;
;;;;Roque F. et al. (2006), Nine new records of drosophili ...;;;;;;;;;
;;;;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
;;;;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
;;;;Cahaves N.B. and Tidon R. (2005), Drosophilidae of the Brazilian ...;;;;;;;;;
;;;;Roque et al., 2006;;;;;;;;;
;;;;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ...;;;;;;;;;
;;;;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ...;;;;;;;;;
;;;;Brncic D. and Martinez H. (1990), Lista de ejemplares de Drosoph ...;;;;;;;;;
;;;;Vilela C.R. and Mori L. (1999), The genus Drosophila (Diptera, ...;;;;;;;;;
;;;;Tidon-Sklorz et al., 1994;;;;;;;;;
;;;;Hsu T.C. (1949), The external genital apparatus ...;;;;;;;;;
;;;;Streisinger G. (1946), The cardini species group of t ...;;;;;;;;;
;;;;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
;;;;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
;;;;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
;;;;Belo M. and Gallo A.J. (1977), Domestic Drosophila species. I ...;;;;;;;;;
;;;;Belo M. and Lemos M.V.F. (1978), Domestic Drosophila species. I ...;;;;;;;;;
;;;;Belo M. and de Oliveira J.J. (1976), Especies domesticas de Drosoph ...;;;;;;;;;
;;;;"Belo M. and de Oliveira J.J. (1978), Especies domesticas de ""Drosop ...";;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
;;;;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
;;;;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
;;;;Sene F.M. et al. (1981), Influence of different ways to ...;;;;;;;;;
;;;;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
;;;;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
;;;;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
