region,site,longitude,latitude,ref
South America,rio ligeiro/pa,-52.31,-23.37,Vilela C.R. et al. (2002)
South America,antofagasta, -70.23,-23.40,Brncic D. (1987)
South America,antofagasta,-70.23,-23.40,Brncic D. and Martinez H. (1990)
South America,boraceia/sp,-43.50,-23.40,Val F.C. and Kaneshiro K.Y. (1988)
South America,guaratuba/sp,-45.53,-23.50,Sene F.M. et al. (1980)
South America,guaratuba/sp,-45.53,-23.50 ,Vilela C.R. et al. (2002)
South America,senges, -49.23,-24.07,Mateus R.P. et al. (2006)
South America,peruibe/sp,-46.55,-24.14,Sene F.M. et al. (1980)
South America,peruibe/sp,-46.55,-24.14,Sene F.M. et al. (1981)
South America,peruibe/sp,-46.55,-24.14 ,Vilela C.R. et al. (2002)
South America,peruibe/sp,-46.55,-24.14,Vilela C.R. et al. (2002)
South America,canyon guartela,-50.18,-24.32,Mateus R.P. et al. (2006)
South America,eldorado/rgs, -48.08,-24.33,Napp M. and Cordeiro A.R. (1978)
South America,salto santa rosa,-50.33,-24.37,Mateus R.P. et al. (2006)
South America,la vina,-65.33,-25.30,Vilela C.R. et al. (2002)
South America,joinville/sc, -48.51,-26.18 ,Doge J.S. et al. (2008)
South America,tapia,-65.22,-26.32 ,Vilela C.R. et al. (2002)
South America,barra velha/sc,-48.42,-26.37,Vilela C.R. et al. (2002)
South America,puerto tirol,-59.10,-27.18 ,Vilela C.R. et al. (2002)
South America,ratones,-48.30,-27.27,Schmitz H.J. et al. (2007)
South America,resistencia,-59.00,-27.28,Vilela C.R. et al. (2002)
South America,florianopolis/sc,-48.32,-27.35 ,Gottschalk M.S. et al. (2007)
South America,itacorubi,-48.31,-27.35,Schmitz H.J. et al. (2007)
South America,itaqui/rs,-56.33,-29.09,Robe L.J. et al. (2010)
South America,itaqui/rs,-56.33,-29.09, phylogen ... 
South America,esteio, -51.11,-29.52 ,Martins M.B. (2001)
South America,restinga/rgs, -53.25,-29.55,Napp M. and Cordeiro A.R. (1978)
South America,tramandai/rs,-50.13,-29.55 ,Sene F.M. et al. (1980)
South America,tramandai/rs,-50.13,-29.55 ,Vilela C.R. et al. (2002)
South America,chile, -70.00,-30.00 ,Napp M. and Cordeiro A.R. (1981)
South America,guaritas/rs, -53.20,-30.45,Vilela C.R. et al. (2002)
South America,valparaiso/chile,-70.40,-33.05,Brncic D. (1987)
South America,el tabo,-71.40,-33.31,Brncic D. (1987)
South America,san miguel de tucuman,-65.00,-35.00 ,Vilela C.R. et al. (2002)
North America,honolulu,-157.5,21.19, Herforth R.S. et al. (1984)
North America,hawaii,-155.4,19.55, Anonymous XXX. (1986)
North America,hawaii,-155.4,19.55, Kaneshiro K. (1986)
North America,hawaii,-155.4,19.55, Leblanc L. et al. (2109)
North America,monterey,-120.3,34.3, Stalker H.D. (1953)
North America,ensenada/bcn,-116.37,32.52, Heed W.B. and Russell J.S. (1971)
North America,arizona,-112,35, Patterson J.T. (1943)
North America,chiricahua mountains/az,-109.23,31.56, Patterson J.T. and Wagner R.P. (1943)
North America,chinipas,-108.32,27.22, Heed W.B. and Russell J.S. (1971)
North America,culiacan/sin,-107.27,24.27, Gallo A.J. and Salceda V.M. (1974)
North America,san rafael oribo,-106,30, Heed W.B. and Russell J.S. (1971)
North America,durango/dur,-104.4,24.01, Stalker H.D. (1953)
North America,tamaulipas,-104.2,35.5, Patterson J.T. (1943)
North America,jalisco/jal,-104,20, Patterson J.T. (1943)
North America,fort davis/tx,-103.54,30.35, Patterson J.T. and Wagner R.P. (1943)
North America,tequila/jal,-103.5,20.53, Patterson J.T. and Mainland G.B. (1944)
North America,chisos/tx,-103.2,29.15, Patterson J.T. and Wagner R.P. (1943)
North America,jacona/mic,-102.19,19.58, Patterson J.T. and Mainland G.B. (1944)
North America,camecuaro/mic,-102.17,19.55, Patterson J.T. and Mainland G.B. (1944)
North America,uruapan/mic,-102.04,19.26, Gallo A.J. and Salceda V.M. (1974)
North America,uruapan/mic,-102.04,19.26, Patterson J.T. and Mainland G.B. (1944)
North America,michoacan,-102,21, Patterson J.T. (1943)
North America,coahuila/coa,-101.4,27, Patterson J.T. (1943)
North America,patzcuaro/mic,-101.38,19.3, Patterson J.T. and Mainland G.B. (1944)
North America,san luis potosi,-101,22.1, Patterson J.T. (1943)
North America,huichihuayan/slp,-101,23, Patterson J.T. and Mainland G.B. (1944)
North America,saltillo/coa,-101,25.3, Patterson J.T. and Mainland G.B. (1944)
North America,sterling city/nm,-101,31.5, Patterson J.T. and Wagner R.P. (1943)
North America,del rio/tx,-100.56,29.23, Patterson J.T. and Wagner R.P. (1943)
North America,guerrero,-100.22,28.21, Patterson J.T. (1943)
North America,monterrey/nul,-100.19,25.4, Hsu T.C. (1949)
North America,monterrey/nul,-100.19,25.4, Patterson J.T. and Mainland G.B. (1944)
North America,sabinas/nul,-100.1,26.33, Patterson J.T. and Mainland G.B. (1944)
North America,mexico,-100,20, Napp M. and Cordeiro A.R. (1981)
North America,mexico,-100,20, Vargas L. (1954)
North America,nuevo leon,-100,25, Patterson J.T. (1943)
North America,williamson/tx,-100,30, Patterson J.T. and Wagner R.P. (1943)
North America,acapulco/gue,-99.56,16.51, Patterson J.T. and Mainland G.B. (1944)
North America,hualahuises/nul,-99.42,24.56, Patterson J.T. and Mainland G.B. (1944)
North America,taxco/gue,-99.36,18.33, Patterson J.T. and Mainland G.B. (1944)
North America,zumpango/gue,-99.3,17.39, Patterson J.T. and Mainland G.B. (1944)
North America,zempoala/mex,-99.19,19.03, Patterson J.T. and Mainland G.B. (1944)
North America,alpuyeca/mor,-99.16,18.44, Patterson J.T. and Mainland G.B. (1944)
North America,cuernavaca/mor,-99.15,18.57, Heed W.B. and Russell J.S. (1971)
North America,desierto de los leones,-99.12,19.2, Patterson J.T. and Mainland G.B. (1944)
North America,jacala/hid,-99.12,21.01, Patterson J.T. and Mainland G.B. (1944)
North America,mexico city,-99.08,19.23, Patterson J.T. (1943)
North America,mexico city,-99.08,19.23, Stalker H.D. (1953)
North America,morelos,-99,19, Patterson J.T. (1943)
North America,matlapa/slp,-99,21, Patterson J.T. and Mainland G.B. (1944)
North America,guemez/tam,-99,23.56, Patterson J.T. and Mainland G.B. (1944)
North America,llera/tam,-99,24, Patterson J.T. and Mainland G.B. (1944)
North America,ciudad mante/tam,-98.59,22.44, Patterson J.T. and Mainland G.B. (1944)
North America,tamazunchale/slp,-98.47,21.16, Patterson J.T. and Mainland G.B. (1944)
North America,san antonio/tx,-98.3,29.25, Patterson J.T. and Wagner R.P. (1943)
North America,atlixco/pue,-98.26,18.55, Patterson J.T. and Mainland G.B. (1944)
North America,atlixco/pue,-98.26,18.55, Stalker H.D. (1953)
North America,mcallen/tx,-98.14,26.12, Patterson J.T. and Wagner R.P. (1943)
North America,hidalgo/tam,-98.12,26.03, Patterson J.T. and Mainland G.B. (1944)
North America,grand canyon/tx,-98.12,31.03, Patterson J.T. and Wagner R.P. (1943)
North America,edinburg/tx,-98.1,26.18, Patterson J.T. and Wagner R.P. (1943)
North America,alice/tx,-98.04,27.45, Patterson J.T. and Wagner R.P. (1943)
North America,weslaco/tx,-97.59,26.1, Patterson J.T. and Wagner R.P. (1943)
North America,weslaco/tx,-97.59,26.1, Yoon J.S. (1984)
North America,weslaco/tx,-97.59,26.1, Yoon J.S. (1990)
North America,weslaco/tx,-97.59,26.1, Yoon Z. (1996)
North America,tampico/tam,-97.52,22.18, Patterson J.T. and Mainland G.B. (1944)
North America,petlalcingo/pue,-97.51,18.08, Patterson J.T. and Mainland G.B. (1944)
North America,huajuapan de leon/oxa,-97.48,17.5, Heed W.B. and Russell J.S. (1971)
North America,austin/tx,-97.44,30.16, Patterson J.T. (1943)
North America,austin/tx,-97.44,30.16, Patterson J.T. and Wagner R.P. (1943)
North America,austin/tx,-97.44,30.16, Spencer W.P. (1957)
North America,harlingen/tx,-97.43,26.12, Patterson J.T. and Wagner R.P. (1943)
