species,region,site,longitude,latitude,ref
simulans,Asia,titizima,142.2,28, Kikkawa H. and Peng F.T. (1938)
simulans,Asia,okinoerabujima,128.55,27.5, Watada M. et al. (1986)
simulans,South America,tavares,-48.32,27.39, Schmitz H.J. et al. (2007)
simulans,Asia,chichijima,142.13,27.05, Ballard J.W.O. (2004)
simulans,Africa,assiut,31.07,27.04, Bachli G. et al. (1982)
simulans,Asia,oku,128.16,26.53, Kopp A. et al. (2006)
simulans,Asia,li jiang,100.16,26.51, Ballard J.W.O. (2004)
simulans,Asia,miyuki,128.1,26.45, Ballard J.W.O. (2004)
simulans,Asia,hahajima,142.09,26.38, Ballard J.W.O. (2004)
simulans,Asia,naga,127.59,26.36, Itoh M. et al. (2003)
simulans,Asia,guiyang,106.4,26.35, Xu S.-H. et al. (2003)
simulans,Asia,fuzhou,119.17,26.09, Xu S.-H. et al. (2003)
simulans,Asia,guwahati,92,26, Das A. et al. (1995)
simulans,Asia,kumejima,127.3,26, Itoh M. et al. (2003)
simulans,Africa,luxor,32.24,25.41, Kopp A. et al. (2006)
simulans,Asia,patna,85.12,25.37, Das A. et al. (1995)
simulans,Asia,ghazipur,83.36,25.36, Das A. et al. (1995)
simulans,Asia,jamsoti,83,25.2, Das A. et al. (1995)
simulans,Asia,ramnagar,83.02,25.18, Das A. et al. (1995)
simulans,Asia,nagpur,79.12,25.1, Das A. et al. (1995)
simulans,Asia,mirzapur,82.34,25.09, Das A. et al. (1995)
simulans,Asia,taipei,121.32,25.05, Lin F.J. et al. (1987)
simulans,Asia,kunming,102.41,25.04, Kopp A. et al. (2006)
simulans,Asia,lowari,84,25, Das A. et al. (1995)
simulans,Asia,shillong,92,25, Das A. et al. (1995)
simulans,Asia,sen-keng,121.3,25, Lin F.J. et al. (1987)
simulans,Asia,wulai,121.3,24.45, Lin F.J. et al. (1987)
simulans,Asia,miyakojima,125.25,24.45, Itoh M. et al. (2003)
simulans,Asia,xiamen,116.05,24.28, Xu S.-H. et al. (2003)
simulans,Africa,kom-ombo,32.57,24.26, Mourad A.M. and Mallah G.S. (1960)
simulans,Asia,iriomotejima,123.44,24.1, Itoh M. et al. (2003)
simulans,Asia,yun-shui,121,24, Lin F.J. et al. (1987)
simulans,Asia,chi-tou,120.45,23.45, Lin F.J. et al. (1987)
simulans,Asia,chu-shan,120.5,23.45, Lin F.J. et al. (1987)
