species,region,site,longitude,latitude,ref
willistoni,South America,guaramiranga,-38.57,-4.16, Pavan C. et al. (1957)
willistoni,South America,guaramiranga,-38.57,-4.16, Spassky B. et al. (1971)
willistoni,South America,porto alegre,-53.15,-4.2, Brncic D. and Valente V.L.S. (1978)
willistoni,South America,porto alegre,-53.15,-4.2, Budnik M. (1980)
willistoni,South America,porto alegre,-53.15,-4.2, Castro F.L. and Valente V.L.S. (2001)
willistoni,South America,porto alegre,-53.15,-4.2, Garcia A.C.L. et al. (2006)
willistoni,South America,porto alegre,-53.15,-4.2, Garcia A.C. et al. (2008)
willistoni,South America,porto alegre,-53.15,-4.2, Gleason J.M. and Powell J.R. (1997)
willistoni,South America,porto alegre,-53.15,-4.2, Griffith E.C. and Powell J.R. (1997)
willistoni,South America,porto alegre,-53.15,-4.2, Saavedra C.C.R. et al. (2001)
willistoni,South America,porto alegre,-53.15,-4.2, dos Santos R.A. and Valente V.L.S. (1990)
willistoni,South America,porto alegre,-53.15,-4.2, Da Silva L.B. and Valente V.L.S. (2000)
willistoni,South America,porto alegre,-53.15,-4.2, Valente V.L.S. and Araujo A.M. (1986)
willistoni,South America,porto alegre,-53.15,-4.2, Valente V.L.S. et al. (1989)
willistoni,South America,porto alegre,-53.15,-4.2, Valente V.L.S. et al. (1990)
willistoni,South America,porto alegre,-53.15,-4.2, Valente V.L.S. et al. (1993)
willistoni,South America,porto alegre,-53.15,-4.2, Valiati V.H. and Valente V.L.S. (1996)
willistoni,South America,caxias,-43.21,-4.52, Cordeiro A.R. (1952)
willistoni,South America,caxias,-43.21,-4.52, Cordeiro A.R. (1954)
willistoni,South America,ayangue,-80.43,-4.55, Rafael V. et al. (2000)
willistoni,South America,pedras do una,-43,-5, de Toledo Cardoso de Mello J. (1971)
willistoni,South America,tabuleiro,-58.25,-5.03, Sassi A.K. et al. (2005)
willistoni,South America,canto da lagoa,-36.5,-5.04, Rohde C. et al. (2005)
willistoni,South America,imperatriz,-47.28,-5.32, Ayala F.J. et al. (1972)
willistoni,South America,imperatriz,-47.28,-5.32, Burla H. et al. (1949)
willistoni,South America,imperatriz,-47.28,-5.32, da Cunha A.B. and Dobzhansky T. (1954)
willistoni,South America,imperatriz,-47.28,-5.32, da Cunha A.B. et al. (1950)
willistoni,South America,imperatriz,-47.28,-5.32, da Cunha A.B. et al. (1959)
willistoni,South America,imperatriz,-47.28,-5.32, Dobzhansky T. (1965)
willistoni,South America,imperatriz,-47.28,-5.32, Dobzhansky T. et al. (1950)
willistoni,South America,imperatriz,-47.28,-5.32, Pavan C. (1950)
willistoni,South America,imperatriz,-47.28,-5.32, Rizki M.T.M. (1955)
willistoni,South America,imperatriz,-47.28,-5.32, Spassky B. et al. (1971)
willistoni,South America,natal/brazil,-35.15,-5.46, Cordeiro A.R. et al. (1960)
willistoni,South America,natal/brazil,-35.15,-5.46, da Cunha A.B. et al. (1959)
willistoni,South America,natal/brazil,-35.15,-5.46, Pavan C. et al. (1957)
willistoni,South America,rio moa,-72,-6, Burla H. et al. (1949)
willistoni,South America,rio moa,-72,-6, da Cunha A.B. et al. (1959)
willistoni,South America,rio moa,-72,-6, Dobzhansky T. (1965)
willistoni,South America,rio moa,-72,-6, Pavan C. and Knapp E.N. (1954)
willistoni,South America,tarapoto,-76.23,-6.31, da Cunha A.B. et al. (1959)
willistoni,South America,tarapoto,-76.23,-6.31, Spassky B. et al. (1971)
willistoni,South America,castanhal,-62.18,-6.31, da Cunha A.B. and Dobzhansky T. (1954)
willistoni,South America,castanhal,-62.18,-6.31, da Cunha A.B. et al. (1959)
willistoni,South America,castanhal,-62.18,-6.31, Pavan C. et al. (1957)
willistoni,South America,floriano,-42.58,-6.46, da Cunha A.B. and Dobzhansky T. (1954)
willistoni,South America,floriano,-42.58,-6.46, da Cunha A.B. et al. (1959)
willistoni,South America,floriano,-42.58,-6.46, Spassky B. et al. (1971)
willistoni,South America,paraiba,-37,-7, Spassky B. et al. (1971)
willistoni,South America,santa rita/brazil,-34.56,-7.03, da Cunha A.B. et al. (1959)
willistoni,South America,joao pessoa,-34.53,-7.06, Pavan C. et al. (1957)
willistoni,South America,carolina/brazil,-47.28,-7.2, Burla H. et al. (1949)
willistoni,South America,carolina/brazil,-47.28,-7.2, da Cunha A.B. and Dobzhansky T. (1954)
willistoni,South America,carolina/brazil,-47.28,-7.2, da Cunha A.B. et al. (1950)
willistoni,South America,carolina/brazil,-47.28,-7.2, da Cunha A.B. et al. (1959)
willistoni,South America,carolina/brazil,-47.28,-7.2, Dobzhansky T. et al. (1950)
willistoni,South America,carolina/brazil,-47.28,-7.2, Pavan C. (1950)
willistoni,South America,carolina/brazil,-47.28,-7.2, Spassky B. et al. (1971)
willistoni,South America,carolina/ma,-47.25,-7.2, Chaves N.B. and Tidon R. (2008)
willistoni,South America,Carolina,-47.25,-7.2,Burla et al.
willistoni,South America,japiim,-72.55,-7.37, Ayala F.J. et al. (1972)
willistoni,South America,japiim,-72.55,-7.37, Burla H. et al. (1949)
willistoni,South America,japiim,-72.55,-7.37, Pavan C. and Knapp E.N. (1954)
willistoni,South America,japiim-moa,-72.55,-7.37, da Cunha A.B. and Dobzhansky T. (1954)
willistoni,South America,cruzeiro do sul,-72.39,-7.4, Ayala F.J. et al. (1972)
willistoni,South America,cruzeiro do sul,-72.39,-7.4, Burla H. et al. (1949)
willistoni,South America,cruzeiro do sul,-72.39,-7.4, Dobzhansky T. (1965)
willistoni,South America,cruzeiro do sul,-72.39,-7.4, Pavan C. (1950)
willistoni,South America,cruzeiro do sul,-72.39,-7.4, Pavan C. and Knapp E.N. (1954)
