,species,region,site,longitude,latitude,ref
218,cardini,South America,resistencia,-59.0,-27.28,Vilela C.R. et al. (2002)
219,cardini,South America,florianopolis/sc,-48.32,-27.35,Gottschalk M.S. et al. (2007)
220,cardini,South America,itacorubi,-48.31,-27.35,Schmitz H.J. et al. (2007)
221,cardini,South America,itaqui/rs,-56.33,-29.09,Robe L.J. et al. (2010)
222,cardini,South America,itaqui/rs,-56.33,-29.09, phylogen ... 
223,cardini,South America,esteio,-51.11,-29.52,Martins M.B. (2001)
224,cardini,South America,restinga/rgs,-53.25,-29.55,Napp M. and Cordeiro A.R. (1978)
225,cardini,South America,tramandai/rs,-50.13,-29.55,Sene F.M. et al. (1980)
226,cardini,South America,tramandai/rs,-50.13,-29.55,Vilela C.R. et al. (2002)
227,cardini,South America,chile,-70.0,-30.0,Napp M. and Cordeiro A.R. (1981)
228,cardini,South America,guaritas/rs,-53.2,-30.45,Vilela C.R. et al. (2002)
229,cardini,South America,valparaiso/chile,-70.4,-33.05,Brncic D. (1987)
230,cardini,South America,el tabo,-71.4,-33.31,Brncic D. (1987)
231,cardini,South America,san miguel de tucuman,-65.0,-35.0,Vilela C.R. et al. (2002)
232,cardini,North America,honolulu,-157.5,21.19, Herforth R.S. et al. (1984)
233,cardini,North America,hawaii,-155.4,19.55, Anonymous XXX. (1986)
234,cardini,North America,hawaii,-155.4,19.55, Kaneshiro K. (1986)
235,cardini,North America,hawaii,-155.4,19.55, Leblanc L. et al. (2109)
236,cardini,North America,monterey,-120.3,34.3, Stalker H.D. (1953)
237,cardini,North America,ensenada/bcn,-116.37,32.52, Heed W.B. and Russell J.S. (1971)
238,cardini,North America,arizona,-112.0,35.0, Patterson J.T. (1943)
239,cardini,North America,chiricahua mountains/az,-109.23,31.56, Patterson J.T. and Wagner R.P. (1943)
240,cardini,North America,chinipas,-108.32,27.22, Heed W.B. and Russell J.S. (1971)
241,cardini,North America,culiacan/sin,-107.27,24.27, Gallo A.J. and Salceda V.M. (1974)
242,cardini,North America,san rafael oribo,-106.0,30.0, Heed W.B. and Russell J.S. (1971)
243,cardini,North America,durango/dur,-104.4,24.01, Stalker H.D. (1953)
244,cardini,North America,tamaulipas,-104.2,35.5, Patterson J.T. (1943)
245,cardini,North America,jalisco/jal,-104.0,20.0, Patterson J.T. (1943)
246,cardini,North America,fort davis/tx,-103.54,30.35, Patterson J.T. and Wagner R.P. (1943)
247,cardini,North America,tequila/jal,-103.5,20.53, Patterson J.T. and Mainland G.B. (1944)
248,cardini,North America,chisos/tx,-103.2,29.15, Patterson J.T. and Wagner R.P. (1943)
249,cardini,North America,jacona/mic,-102.19,19.58, Patterson J.T. and Mainland G.B. (1944)
250,cardini,North America,camecuaro/mic,-102.17,19.55, Patterson J.T. and Mainland G.B. (1944)
251,cardini,North America,uruapan/mic,-102.04,19.26, Gallo A.J. and Salceda V.M. (1974)
252,cardini,North America,uruapan/mic,-102.04,19.26, Patterson J.T. and Mainland G.B. (1944)
253,cardini,North America,michoacan,-102.0,21.0, Patterson J.T. (1943)
254,cardini,North America,coahuila/coa,-101.4,27.0, Patterson J.T. (1943)
255,cardini,North America,patzcuaro/mic,-101.38,19.3, Patterson J.T. and Mainland G.B. (1944)
256,cardini,North America,san luis potosi,-101.0,22.1, Patterson J.T. (1943)
257,cardini,North America,huichihuayan/slp,-101.0,23.0, Patterson J.T. and Mainland G.B. (1944)
258,cardini,North America,saltillo/coa,-101.0,25.3, Patterson J.T. and Mainland G.B. (1944)
259,cardini,North America,sterling city/nm,-101.0,31.5, Patterson J.T. and Wagner R.P. (1943)
260,cardini,North America,del rio/tx,-100.56,29.23, Patterson J.T. and Wagner R.P. (1943)
261,cardini,North America,guerrero,-100.22,28.21, Patterson J.T. (1943)
262,cardini,North America,monterrey/nul,-100.19,25.4, Hsu T.C. (1949)
263,cardini,North America,monterrey/nul,-100.19,25.4, Patterson J.T. and Mainland G.B. (1944)
264,cardini,North America,sabinas/nul,-100.1,26.33, Patterson J.T. and Mainland G.B. (1944)
265,cardini,North America,mexico,-100.0,20.0, Napp M. and Cordeiro A.R. (1981)
266,cardini,North America,mexico,-100.0,20.0, Vargas L. (1954)
267,cardini,North America,nuevo leon,-100.0,25.0, Patterson J.T. (1943)
268,cardini,North America,williamson/tx,-100.0,30.0, Patterson J.T. and Wagner R.P. (1943)
269,cardini,North America,acapulco/gue,-99.56,16.51, Patterson J.T. and Mainland G.B. (1944)
270,cardini,North America,hualahuises/nul,-99.42,24.56, Patterson J.T. and Mainland G.B. (1944)
271,cardini,North America,taxco/gue,-99.36,18.33, Patterson J.T. and Mainland G.B. (1944)
272,cardini,North America,zumpango/gue,-99.3,17.39, Patterson J.T. and Mainland G.B. (1944)
273,cardini,North America,zempoala/mex,-99.19,19.03, Patterson J.T. and Mainland G.B. (1944)
274,cardini,North America,alpuyeca/mor,-99.16,18.44, Patterson J.T. and Mainland G.B. (1944)
275,cardini,North America,cuernavaca/mor,-99.15,18.57, Heed W.B. and Russell J.S. (1971)
276,cardini,North America,desierto de los leones,-99.12,19.2, Patterson J.T. and Mainland G.B. (1944)
277,cardini,North America,jacala/hid,-99.12,21.01, Patterson J.T. and Mainland G.B. (1944)
278,cardini,North America,mexico city,-99.08,19.23, Patterson J.T. (1943)
279,cardini,North America,mexico city,-99.08,19.23, Stalker H.D. (1953)
280,cardini,North America,morelos,-99.0,19.0, Patterson J.T. (1943)
281,cardini,North America,matlapa/slp,-99.0,21.0, Patterson J.T. and Mainland G.B. (1944)
282,cardini,North America,guemez/tam,-99.0,23.56, Patterson J.T. and Mainland G.B. (1944)
283,cardini,North America,llera/tam,-99.0,24.0, Patterson J.T. and Mainland G.B. (1944)
284,cardini,North America,ciudad mante/tam,-98.59,22.44, Patterson J.T. and Mainland G.B. (1944)
285,cardini,North America,tamazunchale/slp,-98.47,21.16, Patterson J.T. and Mainland G.B. (1944)
286,cardini,North America,san antonio/tx,-98.3,29.25, Patterson J.T. and Wagner R.P. (1943)
287,cardini,North America,atlixco/pue,-98.26,18.55, Patterson J.T. and Mainland G.B. (1944)
288,cardini,North America,atlixco/pue,-98.26,18.55, Stalker H.D. (1953)
289,cardini,North America,mcallen/tx,-98.14,26.12, Patterson J.T. and Wagner R.P. (1943)
290,cardini,North America,hidalgo/tam,-98.12,26.03, Patterson J.T. and Mainland G.B. (1944)
291,cardini,North America,grand canyon/tx,-98.12,31.03, Patterson J.T. and Wagner R.P. (1943)
292,cardini,North America,edinburg/tx,-98.1,26.18, Patterson J.T. and Wagner R.P. (1943)
293,cardini,North America,alice/tx,-98.04,27.45, Patterson J.T. and Wagner R.P. (1943)
294,cardini,North America,weslaco/tx,-97.59,26.1, Patterson J.T. and Wagner R.P. (1943)
295,cardini,North America,weslaco/tx,-97.59,26.1, Yoon J.S. (1984)
296,cardini,North America,weslaco/tx,-97.59,26.1, Yoon J.S. (1990)
297,cardini,North America,weslaco/tx,-97.59,26.1, Yoon Z. (1996)
298,cardini,North America,tampico/tam,-97.52,22.18, Patterson J.T. and Mainland G.B. (1944)
299,cardini,North America,petlalcingo/pue,-97.51,18.08, Patterson J.T. and Mainland G.B. (1944)
300,cardini,North America,huajuapan de leon/oxa,-97.48,17.5, Heed W.B. and Russell J.S. (1971)
301,cardini,North America,austin/tx,-97.44,30.16, Patterson J.T. (1943)
302,cardini,North America,austin/tx,-97.44,30.16, Patterson J.T. and Wagner R.P. (1943)
303,cardini,North America,austin/tx,-97.44,30.16, Spencer W.P. (1957)
304,cardini,North America,harlingen/tx,-97.43,26.12, Patterson J.T. and Wagner R.P. (1943)
305,cardini,North America,teziutlan/pue,-97.22,19.49, Heed W.B. and Russell J.S. (1971)
306,cardini,North America,teziutlan/pue,-97.22,19.49, Kambysellis M.P. (1968)
307,cardini,North America,teziutlan/pue,-97.22,19.49, Throckmorton L.H. (1962)
308,cardini,North America,teziutlan/pue,-97.22,19.49, Yoon J.S. (1984)
309,cardini,North America,teziutlan/pue,-97.22,19.49, Yoon J.S. (1990)
310,cardini,North America,teziutlan/pue,-97.22,19.49, Yoon Z. (1996)
311,cardini,North America,cordoba/vcr,-96.55,18.55, Patterson J.T. and Mainland G.B. (1944)
312,cardini,North America,oaxaca/oxa,-96.44,17.02, Stalker H.D. (1953)
313,cardini,North America,oaxaca city,-96.41,17.05, Heed W.B. and Russell J.S. (1971)
314,cardini,North America,puente nacional/vcr,-96.3,19.3, Patterson J.T. and Mainland G.B. (1944)
315,cardini,North America,veracruz/vcr,-96.1,19.11, Gallo A.J. and Salceda V.M. (1974)
316,cardini,North America,tehuantepec/oxa,-95.13,16.21, Heed W.B. and Russell J.S. (1971)
317,cardini,North America,minatitlan/vcr,-94.32,17.59, Heed W.B. and Russell J.S. (1971)
318,cardini,North America,jalapa/vcr,-92.48,17.45, Patterson J.T. and Mainland G.B. (1944)
319,cardini,North America,merida/mex,-89.39,20.59, Heed W.B. and Russell J.S. (1971)
320,cardini,North America,merida/mex,-89.39,20.59, Yoon J.S. (1984)
321,cardini,North America,hammock,-85.01,30.27, Heed W.B. and Russell J.S. (1971)
322,cardini,North America,lexington/ky,-84.3,38.02, Dawson W.D. (1960)
