species,region,site,longitude,latitude,ref
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Streisinger G. (1946)
cardinoides,,,,,Heed W.B. and Russell J.S. (1971)
cardinoides,,,,,Pavan C. (1952)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Vilela C.R. et al. (2002)
cardinoides,,,,,Vilela C.R. et al. (2002)
cardinoides,,,,,Vilela C.R. et al. (2002)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Sene F.M. et al. (1980)
cardinoides,,,,,Vilela C.R. et al. (2002)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Sene F.M. et al. (1980)
cardinoides,,,,,Sene F.M. et al. (1980)
cardinoides,,,,,Sene F.M. et al. (1981)
cardinoides,,,,,Vilela C.R. et al. (2002)
cardinoides,,,,,Rohde C. and Valente V.L.S. (1996)
cardinoides,,,,,Streisinger G. (1946)
cardinoides,,,,,Val F.C. (1982)
cardinoides,,,,,Vilela C.R. et al. (2002)
cardinoides,,,,,Wheeler M.R. (1970)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Vilela C.R. et al. (2002)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Schmitz H.J. et al. (2007)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Saavedra C.C.R. et al. (1995)
cardinoides,,,,,Valente V.L.S. et al. (1981)
cardinoides,,,,,Vilela C.R. et al. (2002)
